x,y
272.5624859065152,-139.30979998317048
272.5625616648938,-139.3098597344722
272.7201019606551,-139.4341942998111
273.1785376949441,-139.79702013957137
273.8049856073218,-140.29318936311154
274.4319815378039,-140.78979776066774
275.05898110458037,-141.28640368707136
275.685982678321,-141.78300743293522
276.31298437326876,-142.27961128782994
276.9414449439841,-142.78041332457255
277.56465047877066,-143.28822763211545
278.1855060692259,-143.7969997999058
278.8048337446178,-144.30679927457746
279.42292156737966,-144.81743251619426
280.04001002315505,-145.32875244114445
280.6562993536004,-145.8405752858302
281.27193497941494,-146.352845621595
281.8869985872098,-146.86536963438877
282.50883072440513,-147.3681239265433
283.1338735404747,-147.87124695688064
283.7597174163186,-148.37318112810726
284.38625725996377,-148.871351917622
285.0130264093621,-149.3683052613089
285.6397961560178,-149.86526026649315
286.2665593889532,-150.36222134724596
286.89332241375655,-150.85918237037558
287.5200875503295,-151.3561404725984
288.1469176986812,-151.85307051487854
288.7737495669409,-152.35000633390433
289.4005799096469,-152.84694305487255
290.0273388970205,-153.34390817661415
290.654117416316,-153.8408629687329
291.2808963408241,-154.33781777201872
291.90767051468544,-154.83476488621702
292.5344318685982,-155.33177618741274
293.16119310489603,-155.82878780219056
293.78797065534377,-156.32578518667552
294.4147714651399,-156.82272715652496
295.04157225345693,-157.31966914211284
295.66835502522093,-157.81661984021454
296.2951099968075,-158.3135568216192
296.92186511675794,-158.81049261035704
297.54862193968415,-159.30742810211405
298.1753803838899,-159.8043992146318
298.80213567985606,-160.30138666324342
299.4288934278661,-160.79837334087586
300.0556651727055,-161.29533838554556
300.6824171227169,-161.79227397372262
301.30916647496593,-162.28921249720344
301.93592012839554,-162.78615394540424
302.56268547165956,-163.28309456475293
303.18945095270084,-163.78003386732405
303.8162297142479,-164.27695358433246
304.4430190805396,-164.77386763745503
305.06980846164345,-165.27078207800187
305.6965805285178,-165.7677177587682
306.32337609561597,-166.2646651648787
306.95017225690003,-166.7616136260582
307.57697168097855,-167.25854200468402
308.2037455612488364,-167.75547813046296
308.8305164436922,-168.25242085325937
309.4572854195552,-168.7493642122817
310.0840685521014,-169.24627692543496
310.7108607540405,-169.74317889848118
311.3376504196643,-170.24008448579784
311.9644286731955,-170.73703631672836
312.5912025292512,-171.2339938262001
313.21797638179936,-171.73095031772672
313.84475101711286,-172.2278780299942
314.4715211534674,-172.72482056467823
315.09829073370884,-173.22176387127564
315.72504499873065,-173.7187144655861
316.35182770984835,-174.21565770476454
316.9786111375855,-174.71260151696757
317.6053947063938,-175.20953249377456
318.2334287190883,-175.7074935055228
318.86009066370235,-176.20436708887482
319.486825136116,-176.7012927964747
320.1147023850817,-177.1991043043823
320.74184190488177,-177.69632765841538
321.36852514137814,-178.1931961567453
321.9950658344404,-178.69000395562028
322.62167274531424,-179.1868657883453
323.24832464994716,-179.68376349027207
323.8750462333007,-180.18063354777914
324.50179091789647,-180.67753267039726
325.1285494979251,-181.17444447193867
325.75528802913277,-181.6713812693479
326.38208257520375,-182.16830518881605
327.00888249116457,-182.66523353689595
327.63566920942685,-183.16217212670452
328.2623860089299,-183.65914862893976
328.88910467186616,-184.15612751475356
329.51585756194265,-184.65307560356817
330.14264471004697,-185.15000548961794
330.7694324520322,-185.6469358906559
331.39621977735396,-186.14386920344865
332.02304047007794,-186.64079696977265
332.64987714405567,-187.1377368780041
333.2767127885018,-187.63467812832863
333.9035437261207,-188.13163259245647
334.5303716297911,-188.62859061855315
335.157199355066,-189.12554853476368
335.78400684980176,-189.62257549183988
336.41080499326716,-190.1196180471135
337.03760344106456,-190.6166609127602
337.66439787435394,-191.1136353839411
338.29114525798815,-191.61059286641748
338.91789220351274,-192.1075502687423
339.5446468440127,-192.6045087606609
340.17149868997063,-193.10143203992428
340.7983505472286,-193.59835561702675
341.42519424222024,-194.09531054754342
342.0520169962395,-194.5923367717058
342.678839362053,-195.08936487507586
343.30566336333186,-195.58638557165995
343.93243399087527,-196.08336605380242
344.5591794529347,-196.58035604134238
345.1859246007512,-197.07734510195297
345.81271624092614,-197.57427691741808
346.4395401216658,-198.0711934969608
347.0663639794243,-198.56811194947232
347.69317014338856,-199.0651455654094
348.3199619335403,-199.56218180938416
348.9467460941049,-200.0592112109884
349.57262023346783,-200.55542862733316
350.1992828218301,-201.05233343849844
350.8259043677994,-201.54920593434386
351.4522295283714,-202.04585173190898
352.0792568596881,-202.54287226607516
352.7063034016035,-203.0399093989282
353.3325057228633,-203.5363087396629
353.958898734776,-204.03297209575905
354.58538285598945,-204.52971257554262
355.212228866458,-205.02673131111814
355.83839916206784,-205.52319065501615
356.46498315029703,-206.02002985301934
357.09121434595005,-206.51651944627224
357.7180530198527,-207.01346840158308
358.34503515860445,-207.51048169805279
358.9726983379492,-208.0081151644932
359.60051077320435,-208.50585499041102
360.2282557782759,-209.00354573419574
360.8559038610712,-209.501160622776
361.4834265783817,-209.99871806877783
362.11086211447605,-210.49619352468986
362.738241866877,-210.99362548302986
363.36561430373337,-211.49100617465365
363.992945330792,-211.9883698430447
364.6202348955372,-212.48570294847823
365.24666481990187,-212.9835518372834
365.86769918122525,-213.48341877043887
366.4872124603725,-213.98408722628477
367.1042479325114,-214.48877439444018
367.71253981888844,-215.00541620100486
368.31901259666984,-215.53029771274853
368.92440069633426,-216.05629232445165
369.5286731741979,-216.58299386085912
370.13202920662735,-217.11027330278404
370.7346328828128,-217.6380253011825
371.3366192299238,-218.1661637927182
371.93809925430094,-218.69461844225384
372.53916414374163,-219.2233317505961
373.1398887584622,-219.75225670001706
373.7403345230172,-220.28135483559785
374.34055883488116,-220.81067546645127
374.9388633178404,-221.3470708038052
375.5330917908762,-221.88700685606963
376.1230655500508,-222.43311654836876
376.71070807095293,-222.98153551679025
377.297644755215,-223.5307340062241
377.83079186509855,-224.016548698884
378.1450964185831,-224.28931509599758
378.62677117093654,-224.68479801244968
379.23892455755487,-225.1847086480255
379.86678774459585,-225.68070733590855
380.50185559606325,-226.17630702349084
381.1386395251342,-226.67278352844093
381.7729125744602,-227.1807101702286
382.402732163511,-227.70260208664834
383.0229263542478,-228.23449743485898
383.6320322802783,-228.7610380175402
384.23829128858836,-229.28944875281186
384.84106180606204,-229.8183774636078
385.4403938916931,-230.34732210634232
386.037313386977,-230.87660449576407
386.63334166571707,-231.40710154140464
387.2296325737468,-231.93957884365136
387.8265452670366,-232.4740155072836
388.42284975179103,-233.00897571002238
389.0183860426058,-233.54458739355908
389.60862786496625,-234.08921109952607
390.1917131310701,-234.64340335679915
390.77051786093534,-235.20048818402176
391.34115924753365,-235.76417097545564
391.90666373875337,-236.33326125195808
392.46572401631784,-236.90811918785505
393.01959632240994,-237.4867848929948
393.5711829954302,-238.06876741516973
394.12363627782804,-238.65113204564705
394.6776956471478,-239.22863715636512
395.2315377254692,-239.8059271982928
395.7854759598922,-240.3831217688808
396.343491551937,-240.95668414161796
396.90847449328663,-241.52521397653922
397.47859793128936,-242.08828786696768
398.05140752277083,-242.65051986253235
398.6192707153722,-243.21890851965895
399.1792041321698,-243.79799580724875
399.72953609472376,-244.38707380551756
400.2743650298043,-244.97814509466852
400.8167787481043,-245.57253572562638
401.35139658791707,-246.17246129040723
401.8762335346816,-246.7803658672412
402.3966413137736,-247.3913008277523
402.91376892799144,-248.00517902181466
403.4282710091668,-248.6214659092356
403.94067128325605,-249.2397580846461
404.45122321388317,-249.85953252636514
404.9599535868745,-250.48016572945411
405.46715174203183,-251.10144684003825
405.9729718898544,-251.72311222313525
406.47772732502665,-252.34519483797212
406.98162053748854,-252.96768572473337
407.4265432607073,-253.50564188638705
407.6370361075429,-253.75096757374027
407.89807799420373,-254.08998282705315
408.35274095090574,-254.65148440849308
408.6271353505975,-254.96999363804818
408.6693131549183,-255.01928381227216
408.81851886131994,-255.2251631274926
409.21050271112944,-255.72304112028522
409.70586680330734,-256.3489368039918
410.20240437768445,-256.9784092327037
410.6977285547408,-257.60840862481774
411.192096530536,-258.23884046807734
411.68566627286185,-258.8696306160747
412.1785395148217,-259.50074220633786
412.67086968632753,-260.1320853643777
413.16705827304366,-260.76625879312854
413.6716126425139,-261.39055889996774
414.17704521129326,-262.01354652423515
414.6831067603556,-262.6354674000408
415.1897334390528,-263.25649613858525
415.6968454529628,-263.8767880192878
416.20435716988754,-264.4964684572563
416.71218070505233,-265.1156669881496
417.2198986671797,-265.7335241588583
417.72032462055967,-266.3561347854157
418.21078086528127,-266.96971043815927
418.52573849353456,-267.35831337801676
418.60508258842816,-267.4558825548792
418.60508258842816,-267.4558825548792
418.60508258842816,-267.4558825548792
418.60508258842816,-267.4558825548792
418.60508258842816,-267.4558825548792
418.60508258842816,-267.4558825548792
418.60508258842816,-267.4558825548792
418.6483477832679,-267.51168515291437
418.9113854921205,-267.8437025232653
419.38375150683316,-268.43271754578404
419.8844374114685,-269.0568164747673
420.38499741883544,-269.6809474143035
420.8854136526707,-270.3051031026679
421.38573935325655,-270.92923276920874
421.8860523314409,-271.55336467356193
422.3863373645523,-272.17753713159135
422.88661177400104,-272.80168971744894
423.38682035580115,-273.4259475666264
423.887004207628,-274.0502481379664
424.38717422618816,-274.6745691757449
424.8873288538966,-275.2989062766224
425.3874649111108,-275.9232594145605
425.88759113135563,-276.54762506898214
426.38771018576347,-277.1720018127031
426.8755495021749,-277.7807982076623
427.17566425216876,-278.1519641251683
427.2359662991257,-278.22641626920216
427.2359662991257,-278.22641626920216
427.2359662991257,-278.22641626920216
427.2359662991257,-278.22641626920216
427.2359662991257,-278.22641626920216
427.2359662991257,-278.22641626920216
427.2359662991257,-278.22641626920216
427.2359662991257,-278.22641626920216
427.2359662991257,-278.22641626920216
427.2359662991257,-278.22641626920216
