x,y
278.0800619610418,-134.22008731659952
278.8477816149786,-134.74145568825134
279.50406345282255,-135.21002335803576
280.1505850425936,-135.69872499758293
280.794201685229,-136.18223737749886
281.43459807771023,-136.67209093693285
282.07033623198646,-137.1657678231862
282.70510706671513,-137.6562004051991
283.34582437815277,-138.1402185654179
283.3915051626065,-138.17749936273006
284.10287119063537,-138.71481815789048
284.8992103596775,-139.31933917028184
285.54423911804383,-139.8117820759175
286.1661821135183,-140.38847976420982
286.7215547004541,-141.0120454848547
287.3480566436793,-141.7517782303536
287.8792567141173,-142.3568547151271
288.41215357495827,-142.95741069272196
288.94539944271907,-143.55555374236408
289.4787327612314,-144.15254834801428
290.02513792979835,-144.7465273774765
290.6122924858432,-145.31375293134585
291.21924848445457,-145.8589375847004
291.8197845517688,-146.40210375878877
292.39840811229595,-146.95978443918403
292.97462366820037,-147.51493138795558
293.5511928887928,-148.06955216922285
294.1450618284779,-148.62442992420432
294.9122133707452,-149.17107203213828
295.68777136030656,-149.6013410988127
296.3881770686094,-149.99927345777587
297.08330564005473,-150.4054453378279
297.77622101769794,-150.84729203968968
298.4826801028172,-151.45749278998602
299.07655113089317,-152.0663513194144
299.68214835733136,-152.60268600934836
299.78182070582756,-152.68729424817803
300.9881171518045,-153.77276643071346
301.743789492195,-154.42741454628242
302.4994612247582,-155.08206344462116
303.254514674425,-155.74027150913304
304.0065127038349,-156.402202424135
304.75706670005536,-157.06521754493386
305.5064374874912,-157.72911709746828
306.25483953085774,-158.39373842658546
307.002448440339,-159.05894912886302
307.7494080043313,-159.7246413134351
308.4958359513829,-160.39072698970003
309.2418286704111,-161.05713434736657
309.9874650769735,-161.72380474811828
310.73280977969637,-162.39069028745274
311.4779156733079,-163.05775181508488
312.22344044066705,-163.72480259760218
312.9749340456469,-164.38808234070387
313.72734793733986,-165.04924327494197
314.4823467315337,-165.70860731204712
315.24308287352716,-166.36276594190318
316.00520872296397,-167.01427057493316
316.77007863737646,-167.66315657033033
317.5418732013393,-168.3059370136204
318.3153850197053,-168.94515224416955
319.09036338051067,-169.5815546824108
319.86692768328726,-170.2155290741839
320.6493273112535,-170.8445747971795
321.4334980205047,-171.47020880545054
322.2190014702694,-172.09320003041034
323.00559148455375,-172.71401491167433
323.7930655042472,-173.33304548633555
324.5812589774949,-173.95061586399896
325.3700574929601,-174.56858143454775
326.15562862608414,-175.18948016783992
326.9401663530706,-175.81071006327585
327.7240976908196,-176.4324402924997
328.5075319940333,-177.05457998840356
329.29055898950253,-177.67705480565985
330.0732522677823,-178.29980391046433
330.85567216460896,-178.92277752068026
331.6378681346655,-179.54593489520698
332.41988046670383,-180.16924252220556
333.2017425497543,-180.79267327517613
333.98348434759964,-181.41620676732114
334.7651262645837,-182.0398233526506
335.5466921022486,-182.66351262487706
336.32819057285917,-183.2872574516867
337.10963374543826,-183.9110475459534
337.89046699769585,-184.5380757838159
338.6695053988104,-185.16727608905916
339.4474696724681,-185.79734929782637
340.22455440530024,-186.4281350554251
341.0009189677121,-187.0595027693874
341.7766938743754,-187.6913459851537
342.5519827693225,-188.32357361163506
343.3268907034998,-188.95611971241794
344.1014716036386,-189.588939236705
344.87576279210623,-190.22197401726575
345.64981237056537,-190.8551918959514
346.42368665263353,-191.4885671897677
347.10933199576175,-192.05189802698837
278.0800609610274,-134.22008676881458
279.1012441119486,-134.86360617817482
279.8846730480519,-135.44782475552054
280.6737652479715,-136.05531335960035
281.45886908059504,-136.67955437135544
282.2364818368446,-137.3185730917941
283.0061214760369,-137.96922362077365
283.7649976779876,-138.63565627731896
284.51621156563175,-139.30922545565355
285.2605731842142,-139.98788802798438
285.9993284023968,-140.67065604781783
286.7376632768696,-141.35549907245732
287.4758340075918,-142.0333285865899
288.2123627320656,-142.71003473513701
288.9563554699889,-143.3837130139617
289.70357012584856,-144.05252379852485
290.4559414164406,-144.7164950669787
291.2115848584731,-145.37620343675428
291.9725815900976,-146.03115250092904
292.7399519379845,-146.68032982749162
293.5118067963384,-147.32390766304985
294.28588300850964,-147.96335814493102
295.0617317585795,-148.59943022130196
295.8389708479238,-149.23281802212333
296.61734057166,-149.86401833379108
297.39664075797657,-150.49341273740697
298.1767036195409,-151.12130986762136
298.9573894693412,-151.74797717828955
299.7385835848839,-152.37363690312205
300.5201924485884,-152.99847194327276
301.3021399483078,-153.6226319737213
302.0843639704846,-154.2462394335299
302.8668143289484,-154.86939513643102
303.64944955130403,-155.492180885724
304.4322369805612,-156.11466420300192
305.2151479932959,-156.73689942963247
305.99816009078165,-157.35893159004027
306.7806548838507,-157.98429423119083
307.56081244776726,-158.61231413647187
308.33980623011706,-159.24128270145883
309.1178448906684,-159.87102726753886
309.89510004120456,-160.50140669138196
